Country,Code,Bank_Capital_Assets_pct,Capital_Year,NPL_pct,NPL_Year,Private_Credit_GDP_pct,Credit_Year
India,IND,6.08,2023,4.81,2022,50.14,2021
United States,USA,8.68,2023,0.85,2023,46.84,2024
China,CHN,7.75,2021,1.73,2021,194.17,2024
United Kingdom,GBR,6.08,2023,0.98,2023,112.57,2024
Germany,DEU,7.29,2023,1.54,2023,76.38,2023
Japan,JPN,4.07,2022,1.23,2022,123.13,2024
Australia,AUS,5.86,2022,0.72,2022,129.32,2024
Canada,CAN,4.75,2023,0.46,2023,124.1,2008
France,FRA,5.47,2023,2.06,2023,103.91,2024
Brazil,BRA,8.87,2023,2.84,2023,75.62,2024
Indonesia,IDN,13.36,2023,1.96,2023,31.79,2024
United Arab Emirates,ARE,11.47,2023,5.31,2023,67.97,2024
Saudi Arabia,SAU,13.73,2023,1.51,2023,50.14,2017
Mexico,MEX,10.24,2023,2.08,2023,26.56,2024
South Africa,ZAF,8.09,2021,4.45,2021,57.47,2024
